Produktname,Speicher,Preis_EUR
Western Digital Ultrastar DC SN655 - 1DWPD 30.72TB,72TB,2771.9
Verbatim Vi5000 PCIe NVMe SSD 1TB,1TB,65.45
Western Digital WD_BLACK SN850X NVMe SSD 8TB,8TB,629.99
Crucial T500 SSD 4TB,4TB,312.25
Crucial P510 SSD 2TB,2TB,181.5
Kingston KC3000 PCIe 4.0 NVMe SSD 512GB,512GB,56.37
Western Digital WD Green SN350 NVMe SSD 1TB,1TB,59.96
Kingston FURY Renegade SSD 2TB,2TB,156.49
Western Digital WD_BLACK SN850X NVMe SSD 4TB,4TB,309.97
Integral M2 Series M.2 2280 PCIe NVMe SSD 1024GB,1024GB,52.55
Lexar Professional NM1090 PRO 4TB,4TB,482.53
Kingston DC3000ME PCIe 5.0 NVMe U.2 SSD 15.36TB,36TB,1507.98
Crucial P310 SSD 1TB,1TB,63.79
SanDisk Ultra 3D 1TB,1TB,69.8
Crucial BX500 2TB,2TB,110.38
TeamGroup MP33 PRO 2TB,2TB,105.1
Kingston NV2 NVMe PCIe 4.0 SSD 1TB,1TB,67.46
Seagate FireCuda 530R SSD +Rescue 4TB,4TB,331.76
Western Digital WD Blue SA510 SSD 500GB,500GB,36.89
Lexar NQ710 2TB,2TB,148.99
Western Digital WD Blue SN5000 NVMe SSD 500GB,500GB,41.22
KIOXIA EXCERIA G2 SSD 1TB,1TB,56.9
Kingston DC600M Data Center Series Mixed-Use SSD - 1DWPD 7.68TB,68TB,818.38
SanDisk SSD Plus 2TB,2TB,115.59
Crucial P510 SSD 1TB,1TB,110.91
Samsung SSD 9100 PRO 1TB,1TB,172.38
Patriot P300 1TB,1TB,52.34
Western Digital WD Blue SN5000 NVMe SSD 2TB,2TB,109.9
Crucial P3 SSD 2TB,2TB,118.03
Western Digital WD Blue SA510 SSD 500GB,500GB,37.3
Samsung SSD 990 PRO 1TB,1TB,115.48
Kingston DC600M Data Center Series Mixed-Use SSD - 1DWPD 1.92TB,92TB,229.88
Western Digital WD Green SATA SSD 1TB,1TB,54.01
Crucial E100 SSD 1TB,1TB,56.08
Western Digital Red SN700 NVMe NAS SSD - 0.7DWPD 4TB,4TB,315.67
Transcend MTE250H SSD 4TB,4TB,221.0
Western Digital WD Blue SA510 SSD 1TB,1TB,58.48
Crucial MX500 1TB,1TB,114.0
PNY CS900 2TB,2TB,103.81
Western Digital WD Green SN3000 NVMe SSD 500GB,500GB,40.0
Verbatim Vi7000G PCIe NVMe SSD 4TB,4TB,236.87
Western Digital WD_BLACK SN8100 NVMe SSD 1TB,1TB,175.88
Kingston KC3000 PCIe 4.0 NVMe SSD 4TB,4TB,289.34
Kingston FURY Renegade SSD 2TB,2TB,149.9
Kingston DC600M Data Center Series Mixed-Use SSD - 1DWPD 960GB,960GB,131.88
Western Digital Ultrastar DC SN655 - 1DWPD 61.44TB,44TB,5066.9
Crucial T705 SSD 4TB,4TB,417.47
KIOXIA EXCERIA G2 SSD 2TB,2TB,104.48
Samsung SSD 870 EVO 250GB,250GB,46.57
Seagate FireCuda 530R SSD +Rescue 2TB,2TB,145.11
Intenso PCIe PREMIUM SSD 250GB,250GB,18.69
Lexar NM620 512GB,512GB,32.06
ADATA XPG MARS 980 BLADE 2TB,2TB,193.48
GIGABYTE M30 SSD 512GB,512GB,68.9
Lexar NQ790 1TB,1TB,65.9
Crucial T700 SSD 1TB,1TB,142.18
Western Digital WD Blue SA510 SSD 250GB,250GB,30.3
Kingston FURY Renegade G5 SSD 1TB,1TB,173.81
Corsair Force Series MP700 PRO 2TB,2TB,221.45
Western Digital WD_BLACK SN850X NVMe SSD 1TB,1TB,90.9
KIOXIA EXCERIA PRO SSD 2TB,2TB,122.88
Western Digital WD_BLACK SN770 NVMe SSD 250GB,250GB,49.4
Verbatim Vi550 S3 SSD 2TB,2TB,102.81
Western Digital WD Red SA500 NAS SATA SSD 1TB,1TB,71.9
Kingston DC600M Data Center Series Mixed-Use SSD - 1DWPD 3.84TB,84TB,436.32
Patriot P320 128GB,128GB,15.03
Patriot P300 512GB,512GB,29.9
Kingston DC3000ME PCIe 5.0 NVMe U.2 SSD 3.84TB,84TB,462.16
Acer SA100 SSD 480GB,480GB,35.02
Kingston FURY Renegade SSD 1TB,1TB,91.9
Western Digital WD Blue SA510 SSD 2TB,2TB,121.97
Integral M.2 2242 NVMe SSD Gen3 1TB,1TB,87.68
Seagate FireCuda 530R SSD +Rescue 4TB,4TB,335.8
MSI Spatium M470 Pro 2TB,2TB,134.8
Western Digital WD Red SA500 NAS SATA SSD 1TB,1TB,79.9
Seagate FireCuda 530 Heatsink SSD +Rescue 500GB,500GB,77.99
