Produktname,VRAM,Preis_EUR
ASUS Prime Radeon RX 9070 XT OC,16GB,729.0
ASUS Prime GeForce RTX 5070 Ti OC,16GB,917.2
Sapphire Pulse Radeon RX 9060 XT,16GB,388.98
ASUS ROG Astral GeForce RTX 5090 OC,32GB,2899.0
Acer Nitro Radeon RX 9070 XT OC,16GB,719.68
Sapphire Pulse Radeon RX 9070 XT,16GB,766.28
ASUS Prime Radeon RX 9060 XT OC,16GB,394.5
PowerColor Reaper Radeon RX 9060 XT,16GB,372.1
ASUS TUF Gaming GeForce RTX 5070 Ti OC,16GB,999.0
ASRock Radeon RX 9070 XT Steel Legend 16GB,16GB,723.23
GIGABYTE Radeon RX 9070 XT Gaming OC 16G,16GB,717.0
ASUS Dual GeForce RTX 5060 Ti OC,16GB,434.9
ASUS ROG Astral GeForce RTX 5080 OC,16GB,1592.18
PowerColor Red Devil Radeon RX 9070 XT,16GB,766.14
Gainward GeForce RTX 5070 Ti Phoenix-S,16GB,807.0
ASUS TUF Gaming GeForce RTX 5090,32GB,2520.0
Sapphire Nitro+ Radeon RX 9070 XT,16GB,814.88
XFX Swift Radeon RX 9060 XT OC Gaming Edition,16GB,372.1
ASUS Prime GeForce RTX 5070,12GB,573.78
GIGABYTE GeForce RTX 5080 Gaming OC 16G,16GB,1239.33
MSI GeForce RTX 5060 Ti 16G Ventus 2X OC Plus,16GB,444.9
XFX Quicksilver Radeon RX 9070 OC Gaming Edition,16GB,623.0
MSI GeForce RTX 5070 Ti 16G Ventus 3X OC,16GB,896.89
XFX Swift Radeon RX 9070 XT Triple Fan Gaming Edition,16GB,722.98
PowerColor Hellhound Radeon RX 9070 XT,16GB,735.13
MSI GeForce RTX 5070 Ti 16G Gaming Trio OC,16GB,944.86
Zotac Gaming GeForce RTX 5070 Ti Solid SFF,16GB,825.79
Palit GeForce RTX 5070 Ti GamingPro-S,16GB,805.72
ASUS Prime Radeon RX 9070 OC,16GB,658.88
ASUS TUF Gaming Radeon RX 9070 XT OC,16GB,778.88
ASUS TUF Gaming GeForce RTX 5080 OC,16GB,1359.0
GIGABYTE AORUS Radeon RX 9070 XT Elite 16G,16GB,855.57
PowerColor Reaper Radeon RX 9070 XT,16GB,739.94
Zotac Gaming GeForce RTX 5090 Solid,32GB,2449.0
PowerColor Hellhound Radeon RX 9060 XT,16GB,400.32
Palit GeForce RTX 5080 GamingPro V1,16GB,1108.24
GIGABYTE GeForce RTX 5090 Windforce OC 32G,32GB,2499.0
Palit GeForce RTX 5080 GamingPro OC,16GB,1138.49
GIGABYTE GeForce RTX 5070 Ti Windforce SFF 16G,16GB,879.0
MSI GeForce RTX 5080 16G Gaming Trio OC,16GB,1390.35
ASUS ROG Strix GeForce RTX 5070 Ti OC,16GB,1094.98
ASUS Prime GeForce RTX 5080 OC,16GB,1388.51
Zotac Gaming GeForce RTX 5080 Solid CORE,16GB,1105.4
ASRock Radeon RX 9060 XT Challenger 8GB OC,8GB,317.65
GIGABYTE GeForce RTX 5080 Aero OC SFF 16G,16GB,1259.5
Zotac Gaming GeForce RTX 5090 Solid OC,32GB,2399.0
Sapphire Pure Radeon RX 9060 XT,16GB,398.98
INNO3D GeForce RTX 5090 X3 OC,32GB,2399.0
PNY GeForce RTX 4060 Ti Verto Dual Fan,16GB,469.28
XFX Mercury Radeon RX 9070 XT OC Gaming Edition with RGB,16GB,768.98
Sapphire Nitro+ Radeon RX 7900 XTX Vapor-X,24GB,967.01
GIGABYTE AORUS GeForce RTX 5090 Master ICE 32G,32GB,2789.0
Palit GeForce RTX 5080 GameRock OC,16GB,1279.0
ASUS TUF Gaming Radeon RX 9060 XT OC,16GB,449.0
ASRock Radeon RX 9060 XT Steel Legend 16GB OC,16GB,447.81
PowerColor Hellhound Radeon RX 9070,16GB,681.38
GIGABYTE Radeon RX 9060 XT Gaming OC 16G,16GB,414.98
ASUS Dual Radeon RX 7600 EVO OC,8GB,241.48
GIGABYTE Radeon RX 9070 Gaming OC 16G,16GB,648.98
Intel Arc B580 Limited Edition,12GB,281.34
Sapphire Nitro+ Radeon RX 9060 XT,16GB,439.0
Acer Nitro Radeon RX 9070 OC,16GB,634.28
MSI GeForce RTX 5090 32G Suprim Liquid SOC,32GB,2819.0
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition,16GB,472.94
Sapphire Pulse Radeon RX 9070,16GB,669.58
MSI GeForce RTX 5090 32G Ventus 3X OC,32GB,2569.0
Zotac Gaming GeForce RTX 5060 Ti Twin Edge,16GB,452.0
MSI GeForce RTX 5090 32G Suprim SOC,32GB,2785.0
ASRock Radeon RX 9070 XT Taichi 16GB OC,16GB,815.03
MSI GeForce RTX 5070 12G Gaming Trio OC,12GB,662.5
Sapphire Nitro+ Radeon RX 7800 XT,16GB,532.78
Palit GeForce RTX 5070 GamingPro OC,12GB,644.37
