Produktname,VRAM,Preis_EUR
ASRock Radeon RX 6400 Challenger ITX,4GB,132.0
ASUS TUF Gaming Radeon RX 6700 XT OC,12GB,1847.77
GIGABYTE GeForce RTX 5060 Eagle OC ICE 8G,8GB,327.97
AMD Radeon PRO WX 3200,4GB,119.88
Zotac Gaming GeForce RTX 3050 Solo,6GB,181.41
INNO3D GeForce RTX 5070 X3 OC,12GB,609.95
PNY RTX 4000 Ada Generation,20GB,1319.51
Gainward GeForce RTX 5070 Phoenix GS,12GB,639.9
PNY GeForce RTX 5070 Ti Epic-X RGB Overclocked Triple Fan Plus,16GB,956.09
Palit GeForce RTX 5060 Dual,8GB,301.51
PNY GeForce RTX 5060 Ti Epic-X RGB Overclocked Triple Fan,16GB,519.76
Gainward GeForce RTX 5070 Python III OC,12GB,605.0
Gainward GeForce RTX 5070 Phoenix-S GS,12GB,595.0
INNO3D GeForce RTX 5080 X3 Gaming OC,16GB,1168.74
Zotac Gaming GeForce RTX 3060 Twin Edge LHR,12GB,290.39
Sapphire Pure Radeon RX 7700 XT,12GB,428.0
Zotac Gaming GeForce RTX 5080 Solid OC,16GB,1299.83
EVGA GeForce RTX 3090 Ti KINGPIN Hybrid Gaming,24GB,3488.46
Manli Stellar GeForce RTX 5080 OC,16GB,1397.08
Zotac Gaming GeForce RTX 5060 Twin Edge,8GB,313.64
GIGABYTE GeForce RTX 5060 Ti Eagle OC 8G,8GB,412.44
ASUS ProArt GeForce RTX 4060 OC,8GB,419.01
Biostar Radeon RX 580 White 2048SP,8GB,138.99
GIGABYTE GeForce RTX 4060 Windforce OC 8G,8GB,312.47
PNY RTX A1000,8GB,409.9
Palit GeForce RTX 3050 StormX (GA107),8GB,189.53
XFX Swift Radeon RX 9060 XT OC Gaming Edition,8GB,317.65
PNY GeForce RTX 4060 Ti Verto Dual Fan,8GB,424.0
AMD Radeon PRO W5700,8GB,559.66
PNY RTX A4000,16GB,1119.74
ASUS TUF Gaming GeForce RTX 4070 SUPER OC,12GB,1150.99
PNY GeForce RTX 5070 Ti Overclocked Triple Fan Plus,16GB,943.69
XFX Speedster SWFT 210 Radeon RX 7600 XT,16GB,362.94
PNY RTX 6000 Ada Generation,48GB,7464.94
ASUS GeForce RTX 3050 OC,6GB,182.64
GIGABYTE AORUS GeForce RTX 3060 Ti Elite 8G (Rev. 2.0) (LHR),8GB,575.88
PNY RTX A2000,12GB,597.1
PNY GeForce RTX 4070 Ti SUPER Verto Overclocked Triple Fan,16GB,1116.12
PNY GeForce RTX 5070 ARGB Epic-X RGB Overclocked Triple Fan,12GB,668.84
NVIDIA T400,4GB,133.51
XFX Speedster SWFT 210 Radeon RX 6600 Core Gaming,8GB,214.98
ASRock Radeon RX 7900 XT Phantom Gaming White OC,20GB,994.46
PowerColor Red Devil Radeon RX 7800 XT,16GB,565.73
XFX Speedster MERC 319 Radeon RX 6900 XT Black Gaming,16GB,2160.23
INNO3D GeForce RTX 5060 Ti Twin X2 OC White,8GB,412.58
GIGABYTE GeForce RTX 5060 Eagle OC 8G,8GB,309.95
Gainward GeForce RTX 5060 Ghost,8GB,302.0
GIGABYTE GeForce RTX 5060 Ti Eagle OC ICE 8G,8GB,399.95
INNO3D GeForce RTX 5060 Ti Twin X2,8GB,379.95
Gainward GeForce RTX 4070 Ti Phantom Reunion GS,12GB,1288.06
NVIDIA RTX A4500,20GB,2337.46
Manli Polar Fox GeForce RTX 5070 OC,12GB,733.81
ASUS TUF Gaming GeForce RTX 5060 Ti OC,8GB,479.99
Palit GeForce RTX 5070 Infinity 3 OC,12GB,583.86
ASUS Phoenix GeForce RTX 3050 V2,8GB,204.28
Manli Nebula GeForce RTX 5060 Ti,8GB,454.4
GIGABYTE GeForce RTX 3060 Windforce OC 12G (LHR) (Rev. 1.0),12GB,279.9
PNY GeForce RTX 5060 Ti Epic-X RGB Overclocked Triple Fan,8GB,451.24
XFX Speedster SWFT 210 Radeon RX 7600 Core Edition,8GB,259.35
GIGABYTE Radeon RX 7600 Gaming OC 8G,8GB,245.04
NVIDIA T400,4GB,173.59
Manli Polar Fox GeForce RTX 5070 Ti OC,16GB,995.44
PNY Quadro RTX 4000,8GB,1647.65
MSI GeForce RTX 3050 Ventus 2X 6G OC,6GB,182.02
AMD Radeon PRO W7600,8GB,588.91
ASUS Dual Radeon RX 7900 GRE OC,16GB,740.42
ASRock Radeon RX 6500 XT Phantom Gaming 8G OC,8GB,188.91
MSI GeForce GT 710 2GD3H LP,2GB,41.82
Manli Gallardo GeForce RTX 5080 OC,16GB,1460.05
PNY T1000,8GB,441.81
INNO3D GeForce RTX 5060 Ti Twin X2 OC,16GB,464.0
NVIDIA RTX PRO 4500 Blackwell,32GB,3103.22
MSI GeForce RTX 5080 16G Inspire 3X,16GB,1352.29
ASUS TUF Gaming GeForce RTX 5070,12GB,856.13
Palit GeForce RTX 3050 StormX,6GB,171.33
Sapphire Pulse Radeon RX 6800 XT,16GB,936.99
PNY RTX A4000,16GB,1074.48
Intel Arc Pro A50,6GB,272.57
ASRock Radeon RX 6600 Challenger White 8GB,8GB,219.82
PNY RTX A5000,24GB,2629.48
NVIDIA T1000 LP,8GB,448.29
GIGABYTE GeForce RTX 5060 Ti Gaming OC 8G,8GB,419.95
AFOX GeForce GT 730 4GB,4GB,61.9
PowerColor Fighter Radeon RX 7600,8GB,255.23
GIGABYTE GeForce RTX 4070 Ti Gaming OC V2 12G,12GB,2359.29
MSI GeForce RTX 5070 Ti 16G Inspire 3X Plus,16GB,999.24
Palit GeForce RTX 5070 GamingPro,12GB,610.91
Sparkle Arc A750 ROC LUNA OC Edition,8GB,197.62
PNY RTX 5000 Ada Generation,32GB,4106.57
ASUS TUF Gaming GeForce RTX 4060 Ti OC,8GB,529.0
PowerColor Radeon RX 7700 XT,12GB,433.93
XFX Speedster MERC 319 Radeon RX 7800 XT Black Edition,16GB,519.9
GIGABYTE GeForce RTX 5060 Ti Eagle OC ICE 16G,16GB,495.0
Biostar GeForce RTX 3060 Ti,8GB,358.99
ASRock Arc A380 Challenger ITX 6GB OC,6GB,130.08
GIGABYTE GeForce RTX 3060 Gaming OC 8G (Rev. 2.0),8GB,268.21
ASRock Radeon RX 7600 Challenger 8GB OC,8GB,256.24
PNY GeForce RTX 5070 Triple Fan,12GB,585.0
ASUS GeForce GT 1030 low profile,2GB,77.55
GIGABYTE GeForce RTX 5070 Aero OC 12G,12GB,699.9
ASRock Radeon RX 7600 Steel Legend 8GB OC,8GB,301.58
PNY RTX A400,4GB,194.23
PNY RTX 2000 Ada Generation,16GB,704.56
Zotac GeForce GT 710,2GB,45.53
Sapphire Pulse Radeon RX 6500 XT ITX Pure OC,4GB,146.29
Manli GeForce RTX 3050 Classics Single,6GB,190.7
Manli Polar Fox GeForce RTX 5060 Ti OC,16GB,540.19
XFX Speedster SWFT 210 Radeon RX 7700 XT Core Edition,12GB,402.35
Manli Nebula GeForce RTX 5070,12GB,698.11
ASUS Prime GeForce RTX 5060,8GB,366.47
Gainward GeForce RTX 5060 Ghost OC,8GB,321.68
Palit GeForce RTX 5060 Infinity 3,8GB,311.59
ASUS Dual GeForce RTX 4060 Ti OC SSD,8GB,409.95
Gainward GeForce RTX 4070 Ghost,12GB,769.0
PNY T400,4GB,153.25
EVGA GeForce RTX 3090 Ti FTW3 Ultra Gaming,24GB,2797.3
ASUS ROG Strix LC Radeon RX 6900 XT Top,16GB,2266.77
Palit GeForce RTX 3070 Ti GamingPro,8GB,1154.27
ASRock Arc A770 Challenger SE 16GB OC,16GB,312.46
NVIDIA RTX A1000,8GB,399.52
PNY RTX 5000 Ada Generation,32GB,4265.82
INNO3D GeForce RTX 5060 Ti Twin X2 OC White,16GB,1128.32
ASRock Arc A750 Challenger SE 8GB OC,8GB,224.75
PNY GeForce RTX 5070 Ti Overclocked Triple Fan,16GB,903.2
GIGABYTE Radeon RX 6750 XT Gaming OC 12G,12GB,493.86
Sparkle Arc B580 TITAN Luna OC,12GB,302.95
GIGABYTE GeForce GT 1030 Low Profile D4 2G,2GB,77.71
Intel Arc A750 Limited Edition,8GB,251.64
Acer Nitro Radeon RX 7600 XT OC,16GB,896.24
PNY GeForce RTX 3090 XLR8 Gaming Revel Epic-X RGB Triple Fan,24GB,2913.22
PNY GeForce RTX 5060 Epic-X RGB Overclocked Triple Fan,8GB,348.98
PNY GeForce RTX 5060 Ti Dual Fan,8GB,426.98
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition White,16GB,571.36
GIGABYTE Radeon PRO W7800 AI TOP 48G,48GB,3199.9
GIGABYTE GeForce RTX 4060 D6 8G,8GB,315.28
ASUS Dual GeForce RTX 4060 OC,8GB,339.89
INNO3D GeForce RTX 3050 Twin X2,6GB,186.01
PNY RTX 4500 Ada Generation,24GB,2591.31
GIGABYTE GeForce RTX 5060 Aero OC 8G,8GB,352.94
PNY GeForce RTX 3050 Verto Dual Fan,6GB,182.87
GIGABYTE GeForce RTX 3050 Windforce OC 6G,6GB,214.58
PNY GeForce RTX 5070 Ti ARGB Epic-X RGB Overclocked Triple Fan,16GB,1166.31
AFOX Radeon HD 6450,2GB,58.89
MSI GeForce RTX 5070 12G Ventus 3X OC,12GB,696.43
Sparkle Arc B580 GUARDIAN,12GB,292.28
AFOX GeForce GT 730 2GB,2GB,50.9
INNO3D GeForce RTX 3060 Twin X2 LHR,8GB,684.36
GIGABYTE AORUS GeForce RTX 5060 Elite 8G,8GB,351.31
INNO3D GeForce RTX 5060 Ti Twin X2 OC,8GB,399.9
Sapphire Nitro+ Radeon RX 7900 GRE OC,16GB,2133.03
AFOX GeForce GTX 1050 Ti LP,4GB,180.5
GIGABYTE GeForce RTX 4060 Ti Gaming OC 8G,8GB,532.08
Zotac Gaming GeForce RTX 4060 Solo,8GB,365.37
Palit GeForce RTX 5060 Ti Infinity 3,8GB,403.0
ASRock Radeon RX 7700 XT Phantom Gaming OC,12GB,435.0
PNY GeForce RTX 5060 Ti Overclocked Dual Fan,8GB,407.39
GIGABYTE GeForce RTX 4060 Ti Windforce OC 8G,8GB,425.6
PNY RTX A1000,8GB,452.7
ASUS Dual GeForce RTX 4060 Ti White OC,8GB,538.54
Zotac Gaming GeForce RTX 3050 LP,6GB,184.13
Palit GeForce RTX 5060 Ti Infinity 3 OC,8GB,403.0
INNO3D GeForce RTX 5060 Ti X3 OC,8GB,409.9
MSI GeForce RTX 5060 Ti 8G Ventus 2X Plus,8GB,424.06
Palit GeForce RTX 5060 Ti Dual,8GB,372.1
Sapphire Pure Radeon RX 7700 XT Frost Punk 2 Edition,12GB,548.57
MSI GeForce RTX 4060 Ti 8G Ventus 2X Black E1 OC,8GB,453.67
Zotac Gaming GeForce RTX 5060 AMP,8GB,331.74
Zotac Gaming GeForce RTX 5060 Twin Edge OC,8GB,318.05
INNO3D GeForce RTX 3050 Twin X2 OC,8GB,207.01
ASUS TUF Gaming GeForce RTX 3050 OC,8GB,265.21
ASUS Dual GeForce RTX 3050 OC,8GB,595.57
ASUS ROG Strix Radeon RX 6600 XT OC,8GB,420.8
INNO3D GeForce RTX 3050 Twin X2,8GB,212.32
Gainward GeForce RTX 2060 Ghost 12GB,12GB,532.87
Zotac Gaming GeForce RTX 5070 Ti Solid Core,16GB,999.0
PNY T400,4GB,180.4
MSI GeForce GT 1030 2GHD4 LP OC,2GB,119.99
PowerColor Hellhound Radeon RX 6600 XT,8GB,632.4
GIGABYTE AORUS Radeon RX 6900 XT Xtreme Waterforce WB 16G,16GB,1807.15
ASUS Dual GeForce RTX 3070 OC V2 (LHR),8GB,604.03
ASUS GeForce GT 730 Silent,2GB,64.82
PowerColor Fighter Radeon RX 7700 XT,12GB,438.61
Sapphire Nitro+ Radeon RX 6900 XT SE,16GB,1348.69
Zotac Gaming GeForce RTX 4060 Ti Twin Edge OC,8GB,399.95
PowerColor Red Devil Radeon RX 6700 XT,12GB,1339.0
ASUS GeForce GT 1030 low profile silent,2GB,79.88
Manli Nebula GeForce RTX 5060 Ti,16GB,526.51
Gainward GeForce RTX 5060 Python III,8GB,333.77
ASRock Radeon RX 7900 GRE Challenger 16GB OC,16GB,1457.59
Gainward GeForce RTX 4060 Ti Pegasus,8GB,433.24
Gainward GeForce RTX 4060 Ti Ghost,8GB,450.85
MSI GeForce RTX 3050 Ventus 2X XS 8G OC White,8GB,211.78
NVIDIA RTX A4000,16GB,940.15
Palit GeForce RTX 5070 GamingPro-S OC,12GB,667.44
Palit GeForce RTX 5070 GamingPro-S,12GB,654.84
Manli GeForce RTX 3060 Classics,12GB,311.08
Gainward GeForce RTX 5060 Ti Python III OC,8GB,403.0
INNO3D GeForce RTX 4060 Twin X2 OC,8GB,319.24
PNY GeForce RTX 5080 ARGB Epic-X RGB Overclocked Triple Fan,16GB,1431.2
Zotac Gaming GeForce RTX 4060 Ti Twin Edge,8GB,399.99
ASRock Radeon RX 6400 Low Profile,4GB,138.88
AFOX Radeon RX 550,4GB,114.74
Zotac Gaming GeForce RTX 4060 Twin Edge OC White Edition,8GB,348.02
MSI GeForce RTX 5070 12G Shadow 2X OC,12GB,634.28
Gainward GeForce RTX 5060 Ti Python III,8GB,411.9
PNY RTX A2000,12GB,656.68
PNY T1000,8GB,393.19
PNY RTX 2000 Ada Generation (Power Limited),16GB,856.48
PNY RTX 2000E Ada Generation (Power Limited),16GB,856.48
INNO3D GeForce RTX 5060 Twin X2 OC White,8GB,335.8
Acer Predator BiFrost Arc A750 OC,8GB,200.68
PNY GeForce RTX 4060 Verto Dual Fan,8GB,352.93
INNO3D GeForce RTX 2060 SUPER Twin X2 OC,8GB,455.22
PowerColor Fighter Radeon RX 6500 XT,4GB,183.19
Sparkle Arc A750 ORC OC Edition,8GB,201.56
Palit GeForce RTX 5060 Ti Dual OC,8GB,393.0
ASRock Radeon RX 6500 XT Phantom Gaming D OC,4GB,160.2
INNO3D GeForce RTX 3050 Twin X2,8GB,250.58
Biostar GeForce GT 730 2GB,2GB,101.44
Palit GeForce GTX 1660 StormX,6GB,271.66
PNY Quadro P1000 DVI V2,4GB,322.18
MSI GeForce RTX 5080 16G Gaming Trio,16GB,1401.0
MSI GeForce RTX 5090 32G Vanguard OC,32GB,3014.92
PowerColor Red Dragon Radeon RX 550 LP,4GB,148.99
GIGABYTE GeForce RTX 4060 Eagle OC ICE 8G,8GB,431.83
NVIDIA RTX 4000 SFF Ada Generation,20GB,1715.9
Zotac GeForce GT 730 passiv,4GB,85.6
AFOX GeForce RTX 2060 SUPER,8GB,308.99
Gainward GeForce RTX 5070 Ti Phoenix,16GB,897.9
Gainward GeForce RTX 5070 Phoenix,12GB,595.0
ASRock Radeon RX 7900 XT Creator,20GB,800.29
INNO3D GeForce RTX 4070 Ti X3 OC,12GB,1219.85
Palit GeForce RTX 4060 StormX,8GB,321.55
Palit GeForce RTX 5060 Infinity 3 OC,8GB,351.94
INNO3D GeForce RTX 4060 Ti Twin X2,8GB,458.99
GIGABYTE GeForce RTX 4060 Ti Aero OC 8G,8GB,627.28
PowerColor Hellhound Radeon RX 7600,8GB,274.64
PNY GeForce RTX 4060 Verto Overclocked Dual Fan,8GB,327.44
ASUS TUF Gaming Radeon RX 7600 XT OC,16GB,561.02
ASUS Dual GeForce RTX 4070 EVO OC,12GB,949.0
Palit GeForce RTX 5060 Dual OC,8GB,328.76
XFX Speedster QICK 308 Radeon RX 7600 Black Edition,8GB,261.18
Sparkle Arc B570 GUARDIAN OC,10GB,236.95
Gainward GeForce RTX 4060 Ti Panther,16GB,555.13
Acer Predator BiFrost Radeon RX 7600 OC,8GB,289.0
Zotac Gaming GeForce RTX 3050 Eco,8GB,224.0
GIGABYTE GeForce GTX 1650 D6 Windforce OC 4G (Rev. 2.0),4GB,372.44
Sparkle Arc A750 ROC OC Edition,8GB,224.32
INNO3D GeForce GT 710,2GB,45.49
ASUS TUF Gaming GeForce RTX 4090 OG OC,24GB,3189.0
Palit GeForce RTX 3060 Dual,12GB,4343.18
ASUS Dual GeForce RTX 3060 Ti White OC,8GB,453.31
GIGABYTE Radeon RX 6400 D6 Low Profile 4G,4GB,177.51
Palit GeForce RTX 4080 GameRock OC,16GB,1617.38
Zotac Gaming GeForce RTX 4080 AMP Extreme AIRO,16GB,1393.77
MSI Radeon RX 6500 XT Mech 2X 4G OC,4GB,216.55
ASRock Radeon RX 7800 XT Challenger 16GB OC,16GB,569.9
PNY T1000,4GB,388.47
XFX Radeon RX 6650 XT,8GB,261.37
ASRock Radeon RX 7600 Phantom Gaming 8GB OC,8GB,293.98
GIGABYTE AORUS Radeon RX 6750 XT Elite 12G,12GB,597.45
MSI Radeon RX 6750 XT Gaming X Trio 12G,12GB,533.45
EVGA GeForce RTX 3090 Ti FTW3 Gaming,24GB,2333.39
Gainward GeForce RTX 5060 Python III OC,8GB,341.85
PNY GeForce RTX 3080 Uprising Triple Fan LHR,12GB,1531.4
Biostar Radeon RX 6900 XT,16GB,766.74
MSI GeForce RTX 3050 Gaming X 8G,8GB,408.0
PNY RTX A1000 (Power Limited),8GB,487.75
PNY RTX A4500,20GB,2834.61
Zotac Gaming GeForce RTX 3050 Eco Solo,8GB,221.84
ASRock Radeon RX 6600 XT Challenger ITX,8GB,870.61
GIGABYTE Radeon RX 6600 XT Eagle 8G,8GB,409.69
GIGABYTE Radeon RX 6600 XT Gaming OC Pro 8G,8GB,386.4
GIGABYTE GeForce RTX 3060 Ti Gaming OC 8G (Rev. 2.0) (LHR),8GB,664.73
INNO3D GeForce RTX 4060 Ti Twin X2 OC White,8GB,433.71
EVGA GeForce RTX 3060 Ti XC Gaming LHR,8GB,694.35
AMD Radeon PRO W6600,8GB,973.01
MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,8GB,805.71
INNO3D GeForce RTX 3060 Twin X2 OC LHR,12GB,298.98
XFX Speedster QICK 319 Radeon RX 6700 XT Black Gaming,12GB,1128.53
PowerColor Red Devil Radeon RX 6900 XT Ultimate,16GB,2177.21
PowerColor Hellhound Radeon RX 6700 XT,12GB,872.78
ASRock Radeon RX 6700 XT Challenger Pro OC,12GB,519.0
GIGABYTE Radeon RX 7900 XT Gaming OC 20G,20GB,704.88
NVIDIA GeForce RTX 3060 Ti Founders Edition,8GB,679.99
INNO3D GeForce RTX 3090 iCHILL X3,24GB,2061.8
Manli GeForce RTX 3050 Nebula,8GB,222.8
PNY T1000,4GB,371.37
MSI GeForce RTX 4060 Gaming X NV Edition 8G,8GB,431.85
MSI GeForce RTX 4060 Ventus 2X White 8G OC,8GB,330.52
Zotac Gaming GeForce RTX 4060 Twin Edge OC,8GB,357.58
Gainward GeForce GTX 1650 D6 Ghost (V1),4GB,332.56
Zotac GeForce GT 1030 LP,2GB,82.09
Gainward GeForce GT 1030,2GB,74.9
EVGA GeForce RTX 2060 KO Ultra Gaming,6GB,388.05
Manli GeForce RTX 3050 Nebula Twin,6GB,202.4
PNY GeForce GTX 1660 SUPER Single Fan,6GB,343.81
GIGABYTE Radeon RX 6500 XT Gaming OC 4G,4GB,229.0
PowerColor Fighter Radeon RX 6500 XT,8GB,186.77
MSI GeForce RTX 4060 Aero ITX 8G OC,8GB,362.43
GIGABYTE Radeon RX 6950 XT Gaming OC 16G,16GB,1319.19
Manli Stellar GeForce RTX 5060 Ti OC,16GB,566.28
ASUS Dual GeForce GTX 1070 OC,8GB,529.93
Manli Nebula GeForce RTX 5070 Ti,16GB,980.95
Manli Stellar GeForce RTX 5070 OC,12GB,757.15
GIGABYTE GeForce RTX 2060 OC 6G (Rev. 2.0),6GB,348.2
Manli GeForce RTX 4060 Ti Nebula Twin,8GB,488.44
Palit GeForce GT 710,2GB,55.7
Acer Nitro Radeon RX 7700 XT OC 12G,12GB,504.08
Biostar GeForce GT 610,2GB,45.65
INNO3D GeForce RTX 3050 Twin X2 (LHR),6GB,198.9
INNO3D GeForce RTX 3060 Twin X2 OC LHR,8GB,294.39
Biostar GeForce GT 730 2GB,2GB,64.9
NVIDIA RTX A2000,12GB,712.59
PNY GeForce RTX 4060 Ti XLR8 Gaming Verto OC Dual Fan,8GB,483.02
ASUS Phoenix GeForce GT 1030 OC,2GB,94.91
GIGABYTE Radeon PRO W7800 AI TOP 32G,32GB,2498.48
INNO3D GeForce GT 1030 0DB,2GB,71.92
MSI Radeon RX 6900 XT Gaming X Trio 16G,16GB,959.0
AFOX GeForce 210,1GB,49.89
PNY GeForce RTX 5060 Dual Fan,8GB,371.09
MSI GeForce RTX 5070 12G Shadow 3X OC,12GB,779.76
INNO3D GeForce RTX 4060 Twin X2,8GB,338.99
MSI GeForce RTX 4060 Ti Gaming X Trio 8G,8GB,409.79
GIGABYTE GeForce RTX 4060 Aero OC 8G,8GB,415.73
NVIDIA RTX A400,4GB,162.01
PowerColor Radeon RX 6500 XT ITX,4GB,182.14
ASRock Arc A750 Challenger D 8GB OC,8GB,235.9
Acer Nitro Radeon RX 7800 XT OC 16G,16GB,1493.39
XFX Speedster QICK 309 Radeon RX 7600 XT,16GB,421.8
Gainward GeForce RTX 4060 Pegasus,8GB,379.03
MSI GeForce RTX 5060 8G Inspire 2X OC,8GB,484.03
Gainward GeForce RTX 5060 Ti Ghost OC,8GB,436.9
Biostar GeForce GTX 1660 Ti,6GB,355.51
ASUS Dual Radeon RX 7600 OC V2,8GB,338.0
PNY GeForce RTX 5080 Triple Fan,16GB,1471.26
PNY GeForce RTX 5090 Triple Fan,32GB,3024.2
Acer Predator BiFrost Radeon RX 7800 XT OC White,16GB,789.0
ASUS Phoenix Radeon 550,2GB,125.04
Biostar GeForce GT 1030,4GB,95.7
Biostar Radeon RX 560D Gaming,4GB,198.53
Acer Predator BiFrost Radeon RX 7800 XT OC,16GB,609.9
GIGABYTE GeForce RTX 3050 Windforce OC V2 8G,8GB,323.44
GIGABYTE Radeon RX 6400 Eagle 4G,4GB,200.28
ASRock Arc A770 Challenger 16GB OC,16GB,336.79
PNY Quadro P1000 V2,4GB,320.11
ASUS Dual GeForce RTX 4060 White OC,8GB,386.14
GIGABYTE Radeon RX 6500 XT Eagle 4G,4GB,227.36
Palit GeForce RTX 3050 Dual,8GB,541.53
XFX Speedster QICK 210 Radeon RX 6500 XT Core Gaming,4GB,249.99
MSI Radeon RX 7600 Mech 2X Classic 8G OC,8GB,435.92
INNO3D GeForce RTX 4060 Compact,8GB,318.44
MSI GeForce RTX 4060 Ti Ventus 3X 8G OC,8GB,472.94
PNY GeForce RTX 4070 Verto Dual Fan,12GB,790.29
Matrox M9120 Plus LP x1,,322.62
Matrox M9148 LP,1GB,597.32
PowerColor Fighter Radeon RX 6600,8GB,283.44
GIGABYTE AORUS GeForce RTX 5080 Xtreme Waterforce WB 16G,16GB,1556.89
Palit GeForce RTX 4070 Ti GameRock,12GB,1126.76
Gainward GeForce RTX 4070 Ti Phoenix,12GB,1260.52
ASRock Radeon RX 7900 XT,20GB,1123.08
ASUS Radeon RX 6600 XT Dual OC,8GB,530.55
ASUS Dual GeForce RTX 3060 OC,8GB,329.0
MSI Radeon RX 6600 Armor 8G V1,8GB,452.77
INNO3D GeForce RTX 4090 iCHILL X3,24GB,3694.28
AFOX GeForce GT 240,1GB,45.52
Gainward GeForce RTX 4060 Python II,8GB,292.9
GIGABYTE AORUS Radeon RX 6900 XT Master 16G (Rev. 2.0),16GB,906.39
AFOX GeForce GT 710,2GB,69.9
ASRock Radeon RX 6650 XT Challenger D 8GB OC,8GB,286.0
ASRock Radeon RX 6650 XT Phantom Gaming D OC,8GB,362.63
PowerColor Liquid Devil Radeon RX 6950 XT,16GB,1165.37
XFX Speedster MERC 308 Radeon RX 6650 XT Black Gaming,8GB,605.53
XFX Speedster MERC 319 Radeon RX 6750 XT Black Gaming,12GB,682.39
XFX Speedster QICK 308 Radeon RX 6650 XT Ultra Gaming,8GB,372.18
NVIDIA RTX A2000,12GB,705.58
PNY RTX A5500,24GB,5854.67
PNY GeForce RTX 3090 Ti XLR8 Gaming Uprising Epic-X RGB Overclocked Triple Fan,24GB,2481.61
GIGABYTE GeForce RTX 4060 Ti Eagle 8G,8GB,620.15
PNY Quadro P1000 V2,4GB,349.41
Zotac Gaming GeForce RTX 4060 Ti Twin Edge OC White Edition,8GB,524.58
ASRock Radeon RX 7700 XT Steel Legend 12GB OC,12GB,489.0
ASUS TUF Gaming Radeon RX 7700 XT OC,12GB,497.14
GIGABYTE GeForce RTX 3050 Eagle OC 8G,8GB,550.8
GIGABYTE GeForce RTX 3050 Gaming OC 8G,8GB,384.69
EVGA GeForce RTX 2060 XC Gaming,12GB,523.35
MSI GeForce RTX 3050 Ventus 2X 8G OC,8GB,416.81
Zotac Gaming GeForce RTX 3050 Twin Edge OC,8GB,359.58
PNY GeForce RTX 3060 XLR8 Gaming Revel Epic-X RGB Single Fan,12GB,697.95
Palit GeForce RTX 3060 Dual OC,12GB,438.69
Palit GeForce RTX 2060 Dual 12GB,12GB,822.26
PNY GeForce RTX 2060 12GB Revel Dual Fan,12GB,671.11
MSI Radeon RX 6600 Armor 8G,8GB,356.1
ASRock Radeon RX 6600 XT Challenger D OC,8GB,834.99
PowerColor Fighter Radeon RX 6600 XT,8GB,543.73
GIGABYTE Radeon RX 6600 XT Gaming OC 8G,8GB,459.0
GIGABYTE GeForce RTX 3060 Ti Windforce OC 8G (LHR),8GB,632.14
Palit GeForce RTX 2060 Dual,6GB,830.24
GIGABYTE GeForce RTX 3060 Ti Gaming OC Pro 8G (Rev. 3.0) (LHR),8GB,760.85
Zotac Gaming GeForce RTX 3070 Twin Edge OC LHR,8GB,698.96
INNO3D GeForce RTX 4080 iCHILL Frostbite,16GB,2015.42
INNO3D GeForce RTX 3060 Ti GDDR6X X3 OC,8GB,447.57
NVIDIA GeForce RTX 3070 Ti Founders Edition,8GB,829.99
GIGABYTE GeForce RTX 3060 Eagle 12G (Rev. 2.0) (LHR),12GB,415.06
PNY T400,2GB,249.0
Gainward GeForce GTX 1660 SUPER Ghost,6GB,551.8
MSI GeForce GT 710 1GD3H LP,1GB,74.3
PNY GeForce RTX 3060 Verto Dual Fan,8GB,336.52
Sapphire Nitro+ Radeon RX 6700 XT,12GB,901.79
EVGA GeForce RTX 3060 XC Gaming (LHR),12GB,860.29
PNY GeForce RTX 3060 XLR8 Gaming Revel Epic-X RGB,12GB,554.01
ASRock Radeon RX 6900 XT Phantom Gaming D OC,16GB,839.0
GIGABYTE Radeon RX 6800 Gaming OC 16G,16GB,1148.17
ASRock Radeon RX 6800 XT Taichi X 16G OC,16GB,2202.71
Palit GeForce RTX 3090 GameRock,24GB,2608.28
Palit GeForce RTX 3070 GamingPro V1 (LHR),8GB,776.08
Gainward GeForce RTX 3090 Phoenix,24GB,3406.54
GIGABYTE GeForce GTX 1650 D6 OC 4G (Rev. 1.0),4GB,256.8
PowerColor Hellhound Radeon RX 6600,8GB,681.42
Palit GeForce GTX 1660 SUPER GP,6GB,360.62
INNO3D GeForce RTX 2060 Twin X2,6GB,559.23
Zotac GeForce GT 730 passiv,2GB,67.61
EVGA GeForce GTX 1660 SC Ultra Gaming,6GB,503.5
PNY GeForce GTX 1660 Ti XLR8 Gaming OC Dual,6GB,506.9
Palit GeForce GT 1030,2GB,104.3
EVGA GeForce RTX 2060 SC Gaming,6GB,398.4
GIGABYTE GeForce GT 710,2GB,61.93
Palit GeForce RTX 3070 JetStream OC V1 (LHR),8GB,1023.89
Matrox M9140 LP,,604.45
Sapphire GPRO 4300,4GB,219.0
Sapphire GPRO 4200,4GB,219.0
Matrox M9120,,369.97
AMD Radeon PRO WX 9100,16GB,1552.91
GIGABYTE GeForce GT 710 (Rev. 2.0),2GB,68.44
ASUS TUF Gaming GeForce RTX 3080 OC V2 (LHR),10GB,439.9
Gainward GeForce RTX 3070 Phoenix V1 (LHR),8GB,698.82
